Rating,Mobile Name:,Price,RAM
4.1,"Moto G Turbo Edition (Black, 16 GB)",12499,2
4.1,"Moto G Turbo Edition (White, 16 GB)",9199,2
3.2,"Lava Icon (Black, 16 GB)",9999,2
3.9,"LG X Screen K500I (Black, 16 GB)",10990,2
3.6,"SCOSMOS PI 5.5L (White, 16 GB)",8999,2
4.1,"HTC One M9+ (Gunmetal Grey, 16 GB)",16999,2
3.8,"Intex Aqua View (White & Champange, 16 GB)",7999,2
3.5,"Micromax Canvas Hue 2 A316 Dual Sim (Black, 16 GB)",8700,2
3.7,"Intex Aqua Music (Grey, 16 GB)",7999,2
3.6,"Karbonn Titanium S205 (BLACK AND BLUE, 16 GB)",5650,2
4.1,"Honor Holly 3 (Black, 16 GB)",9393,2
4.1,"Honor Holly 3 (Black, 16 GB)",9393,2
3.1,"Videocon Delite 21 (Rose Gold, 16 GB)",5900,2
3.5,"InFocus M808 (Dazzling Gold, 16 GB)",9350,2
3.7,"Hyve Storm (Mystic Grey, 16 GB)",5420,2
4,"Honor 4C (Gold, 8 GB)",9499,2
3.5,"Intex Aqua 4g Plus (Black, 16 GB)",6998,2
3.6,"SCOSMOS PI 5.5L (TITANIUM GREY, Black, BLACK GREY, 16 GB)",8999,2
4.2,"Asus Zenfone 5 A501CG (Black, 8 GB)",8660,2
4.2,"Asus Zenfone 5 A501CG (White, 8 GB)",8660,2
4.2,"VIVO Y55L (Gold, 16 GB)",12850,2
4.1,"HTC Desire 825 (Golden Graphite, 16 GB)",12450,2
3.7,"Micromax Canvas Amaze (Black, 8 GB)",4490,2
4.4,"Moto X (Black, 16 GB)",23999,2
4.1,"Asus Zenfone 5 (Black, 8 GB)",8064,2
4.1,"Asus Zenfone 5 (White, 8 GB)",8499,2
4.1,"Asus Zenfone Live (Navy Black, 16 GB)",10290,2
4.5,"LG G2 D802 (Black Gold, 16 GB)",31971,2
4.1,"Asus Zenfone Live (Gold, 16 GB)",9197,2
4.5,"Intex Aqua Lions 3 (Black, 16 GB)",7400,2
5,"Zen Admire Snap (Coffee & Black, 16 GB)",5899,2
3.1,"Karbonn Quattro L51 HD (White, 16 GB)",7000,2
3.5,"Xolo Cube 5.0 (2 GB RAM) (Gold, 8 GB)",6999,2
4.1,"Lenovo VIBE P1 (Grey, 32 GB)",15999,2
3.7,"Hyve Storm (Snow White, 16 GB)",5399,2
3.8,"Micromax Canvas Nitro 3 (Slate Grey, 16 GB)",5999,2
4.4,"Moto X (Black/Blue, 16 GB)",19121,2
4.4,"Moto X (Black/Walnut, 16 GB)",21999,2
4.4,"Moto X (Teak, 16 GB)",20792,2
4.4,"Moto X (Turquoise, 16 GB)",19121,2
4.4,"Moto X (Red, 16 GB)",19121,2
4,"HTC One M8 EYE (Champagne, 16 GB)",17500,2
3.8,"InFocus M535 (Silver, 16 GB)",8499,2
4.2,"HTC One (M8 Eye) (Silver, 16 GB)",14500,2
3.9,"Lenovo A7000 (White, 8 GB)",11099,2
3.7,"ZOPO ZOPO Hero 1 Black (Black, 16 GB)",5510,2
3.8,"Asus Zenfone Selfie (Silver, 16 GB)",13999,2
4.2,"Nokia 5 (Silver, 16 GB)",12690,2
3.7,"ZTE Blade V6 (Grey, 16 GB)",7000,2
4.2,"Asus Zenfone 5 A501CG (Red, 8 GB)",7999,2
4.2,"Asus Zenfone 5 A501CG (Gold, 8 GB)",8669,2
4.5,"LG G2 D802 (Black, 32 GB)",21990,2
3.6,"Asus Zenfone Go 5.0 LTE (White, 16 GB)",8199,2
3,"Panasonic P71 (2GB RAM) (Black, 16 GB)",6499,2
3.9,"HTC Desire 828 Dual Sim (Pearl White, 16 GB)",14999,2
3.8,"Asus Zenfone Selfie (White, 16 GB)",11999,2
3.7,"Yu Yureka Plus (White, 16 GB)",10500,2
4.6,"Brandsdaddy BD Magic Plus (Black, 16 GB)",15299,2
4.2,"HTC One (M8 Eye) (Grey, 16 GB)",16499,2
3.8,"Intex Cloud Tread (Grey, 16 GB)",4699,2
3,"Kara Mega 2 (4G Volte) (Gold, 16 GB)",7399,2
3.9,"Micromax Canvas 5 Lite Q462 (Brown, 16 GB)",4990,2
3.6,"HTC Desire 826 DS (GSM + CDMA) (White Birch, 16 GB)",12950,2
3.5,"ZOPO ZOPO Hero 1 White (White, 16 GB)",5510,2
4,"Lenovo A6000 Plus (Black, 16 GB)",7300,2
3.5,"Lava X50 4G with VoLTE (Gold, 8 GB)",6499,2
3.9,"Asus Zenfone Go 5.0 LTE 2nd Gen (Black, 16 GB)",6899,2
3.3,"Blackberry Q5 (Black, 8 GB)",8299,2
3.9,"Swipe Konnect Plus (Black, 16 GB)",4549,2
3.6,"Celkon Diamond U (Gold, 16 GB)",5799,2
3.3,"Zopo Color F2 - 4G VoLTE (White, 16 GB)",6500,2
3.5,"Intex Aqua S3 (Champagne, 16 GB)",5547,2
3.3,"Blackberry Z10 (Pure White, 16 GB)",8899,2
3.3,"ZOPO F2 (Rose Gold, 16 GB)",6500,2
4.8,"ZOPO F2 (Black, 16 GB)",6500,2
3.3,"Alcatel U5 HD (Metallic Black, 16 GB)",5999,2
3.1,"ZOPO F2 (Gold, 16 GB)",6500,2
3.3,"Blackberry Q10 (White, 16 GB)",8999,2
3,"Videocon Krypton3 V50JG (GOLDEN BLUE, 16 GB)",5800,2
4.1,"Blackberry Z10 Special Price (Charcoal Black, 16 GB)",7700,2
3.5,"ZOPO Color C3 (Champagne Gold, 16 GB)",5750,2
3.5,"Panasonic Eluga Pulse (Gold, 16 GB)",8399,2
3,"Swipe Virtue (White and Silver, 16 GB)",4990,2
3.5,"Zopo Color F5 (White, 16 GB)",5998,2
3.7,"Blackberry Leap (Grey, 16 GB)",10799,2
3.5,"Swipe Elite Plus 4G (Ivory White/White, 16 GB)",6449,2
3.9,"Blackberry Q5 (White, 8 GB)",7959,2
3.5,"ZOPO COLOR F5 (Black, 16 GB)",5998,2
3.9,"Micromax play 4G (moondust grey, 16 GB)",8999,2
3.6,"Micromax Selfie A255 (White, 16 GB)",6499,2
3.7,"Blackberry Leap (Grey, 16 GB)",10599,2
4,"Asus Zenfone 6 (Deep Black, 16 GB)",7990,2
3.6,"Asus Zenfone Go 5.0 LTE (Black, 16 GB)",6990,2
3.1,"Blackberry Q10 (Black, 16 GB)",13599,2
3.8,"Lenovo A7700 (Black, 16 GB)",8590,2
3,"Zen Cinemax 4G (Rose & Gold, 16 GB)",6499,2
3.1,"LYF Water 2 (Silver, 16 GB)",7999,2
3.9,"Blackberry Classic (Black, 16 GB)",16999,2
3.7,"LYF Water 9 (White & Gold, 16 GB)",8390,2
3.2,"HTC Desire 826 (Blue Lagoon, 16 GB)",19990,2
3.4,"ZTE Star 1 (Black, 16 GB)",4999,2
4,"Zen Cinemax 3 (Black, 16 GB)",3390,2
3,"Asus Zenfone Go 5.0 (White, 16 GB)",6999,2
3.4,"Swipe Virtue (White & Silver, 16 GB)",4980,2
3.4,"LG X Cam (Titan Silver, 16 GB)",12990,2
3.9,"Blackberry Z30 (Black, 16 GB)",13875,2
3.2,"Blackberry Q10 Special Edition (White, 16 GB)",8995,2
3.5,"Asus Zenfone Go 5.0 LTE 2nd Gen (Red, 16 GB)",7399,2
3.5,"ZTE V7 Lite (4G VoLTE) (Champagne Gold, 16 GB)",9097,2
4.1,"ZTE V7 Lite (4G VoLTE) (Silver, 16 GB)",9097,2
3.6,"Swipe Elite Plus 4G (Midnight Blue, 16 GB)",6499,2
3.9,"HTC Desire 825 (Sprinkle White, 16 GB)",12499,2
4,"Panasonic ELUGA ARC (Gold, 16 GB)",7499,2
4.1,"HTC Desire 820S (Santorini White, 16 GB)",13750,2
3.8,"Asus Zenfone Go 5.0 (Black, 16 GB)",6819,2
3.8,"Asus Zenfone Live (Pink, 16 GB)",8850,2
3.2,"HTC Desire 630 (Sprinkle White, 16 GB)",11300,2
3.8,"Lenovo P70-A (Blue, 16 GB)",10490,2
4.1,"Videocon V502430 (Blue, 16 GB)",5999,2
4.1,"HTC Desire 728 Dual Sim (LTE + LTE) (Purple Myst, 16 GB)",12999,2
4,"Asus Zenfone 2 Laser ZE550KL (Red, 16 GB)",8490,2
4,"Gionee F103 (Pearl White, 16 GB)",10499,2
3.8,"Asus Zenfone 2 ZE550ML (White, 16 GB)",7990,2
3.6,"Asus Zenfone 2 ZE550ML (Red, 16 GB)",8400,2
3.8,"Asus Zenfone 2 ZE551ML (Silver, 16 GB)",8490,2
3.6,"InFocus m370i (Gentle Black, 16 GB)",6740,2
3.8,"Asus Zenfone 2 ZE551ML (Gold, 16 GB)",8990,2
3.7,"HTC e9s dual (Meteor Grey, 16 GB)",12699,2
3.6,"Lava A97 4G with VoLTE (Black Gold, 8 GB)",6249,2
3.8,"HTC Desire 728 Dual Sim (LTE + LTE) (White Luxury, 16 GB)",12500,2
4.1,"ZOPO C3 (Rose Gold, 8 GB)",4999,2
4.1,"Asus Zenfone 5 (Red, 16 GB)",8999,2
3.3,"Asus Zenfone 5 (Black, 16 GB)",7990,2
3.4,"Energy Sistem Neo Quad 3G (Gold, 16 GB)",4321,2
4.1,"LYF Wind 2 (Gold, 16 GB)",12000,2
3,"Intex Aqua Star II (White, 16 GB)",6299,2
4.6,"HTC One 802d (Silver, 32 GB)",35499,2
3.6,"Mafe Shine M820 (White, 16 GB)",5799,2
3.6,"Intex Aqua Speed HD (White,Champagne, 16 GB)",4948,2
3.4,"Brandsdaddy BD MAGIC (Black, 16 GB)",13999,2
3.4,"LYF Wind 4S (Brown, 16 GB)",9000,2
3.6,"Lava X3 (Black & Blue, 8 GB)",5399,2
3.5,"Intex Aqua Speed (White,Champagne, 16 GB)",4948,2
3.5,"Intex Aqua Speed (White, 16 GB)",7777,2
3.8,"LYF Wind 4S (Blue, 16 GB)",6547,2
4,"Asus Zenfone Go 5.0 LTE 2nd Gen (Blue, 16 GB)",7299,2
4.2,"Sansui S74 (Grey, 16 GB)",6399,2
4,"Nokia 3 (Silver White, 16 GB)",8950,2
4,"Nokia 3 (Matte Black, 16 GB)",8890,2
4.2,"Honor 5X (Silver, 16 GB)",7999,2
3.9,"Lenovo A6600 Plus (White, 16 GB)",6260,2
4.1,"Moto E3 Power (White, 16 GB)",6999,2
3.7,"Micromax Canvas Knight 2 (White & Silver, 16 GB)",6000,2
3.9,"Micromax Evok Power (Champagne, 16 GB)",6999,2
4.2,"Samsung Galaxy J5 - 6 (New 2016 Edition) (White, 16 GB)",10090,2
3.7,"Sansui Horizon 2S (Grey, 16 GB)",4499,2
4,"Micromax Sliver 5 Q450 (Black, 16 GB)",6390,2
4.1,"Asus Zenfone 2 Laser ZE550KL (Black, 16 GB)",6999,2
3.4,"Sansui Horizon 2 - 4G VoLTE (Champion Gold, 16 GB)",4999,2
3.4,"Sansui Horizon 2 - 4G VoLTE (Rose Gold, 16 GB)",4999,2
4,"Micromax Canvas Sliver 5 (White & Champagne, 16 GB)",6697,2
3.8,"Sony Xperia XA Dual (White, 16 GB)",12990,2
3.8,"Lava X50 Plus (Blue and Silver, 32 GB)",6999,2
4.2,"Moto X (2nd Generation) (Black, 16 GB)",14999,2
3.8,"Sony Xperia XA Dual (Rose Gold, 16 GB)",12990,2
3.8,"InFocus M680 (Silver, 16 GB)",6999,2
