Rating,Mobile Name:,Price,RAM
3.7,"Panasonic Eluga Note (Champagne Gold, 32 GB)",8970,3
4.1,"Sony Xperia XZ Dual (Platinum, 64 GB)",37390,3
3.7,"Lava X10 (White, 16 GB)",8499,3
4.1,"Samsung Galaxy Note 4 (Charcoal Black, 32 GB)",36900,3
3.3,"LYF Water 7S (White, 16 GB)",7490,3
4,"Asus Zenfone Selfie (Black, 16 GB)",9999,3
4,"Samsung Galaxy S6 (Blue Topaz, 32 GB)",32750,3
4.1,"Sony Xperia XZ Dual (Mineral Black, 64 GB)",49990,3
4.2,"Asus Zenfone 2 Laser 5.5 (Red, 16 GB)",11499,3
4,"LG G4 (Red, 32 GB)",19990,3
3.7,"Panasonic Eluga Note (Champagne Gold, 32 GB)",8970,3
4.1,"Sony Xperia XZ Dual (Platinum, 64 GB)",37390,3
3.7,"Lava X10 (White, 16 GB)",8499,3
4.1,"Samsung Galaxy Note 4 (Charcoal Black, 32 GB)",36900,3
4,"Gionee Marathon M5 Plus (Polar Gold, 64 GB)",19980,3
3.9,"Lenovo Z2 Plus (White, 32 GB)",17999,3
4.3,"Redmi 3S Prime (Silver, 32 GB)",8999,3
4,"Samsung Galaxy S6 Edge (Green Emerald, 32 GB)",34900,3
3.7,"Intex Aqua S7 (Rose Gold, 16 GB)",8888,3
4,"Samsung Galaxy S6 (Black Sapphire, 32 GB)",33900,3
4,"Asus Zenfone Selfie (Pink, 32 GB)",14599,3
3.7,"Lava X10 (Black, 16 GB)",7999,3
4.1,"Samsung Galaxy Note 4 (Frost White, 32 GB)",36900,3
3.7,"Panasonic Eluga Note (Grey, 32 GB)",8450,3
4,"Samsung Galaxy S6 (White Pearl, 64 GB)",35999,3
4,"Asus Zenfone Selfie (Aqua Blue, 32 GB)",13900,3
3.7,"Sony Xperia Z3+ (Copper, 32 GB)",25999,3
4,"Samsung Galaxy S6 (Gold Platinum, 32 GB)",33900,3
3.7,"Intex Aqua S7 (Blue, 16 GB)",8888,3
4.1,"Asus Zenfone 4 Selfie (Rose Gold, 32 GB)",9999,3
4,"Samsung Galaxy S6 Edge (White Pearl, 32 GB)",28490,3
3.3,"Samsung Galaxy Note Edge (Frost White, 32 GB)",32990,3
4,"Samsung Galaxy S6 Edge (Gold Platinum, 32 GB)",18989,3
3.7,"Panasonic Eluga Note (Rose Gold, 32 GB)",8850,3
4.2,"Samsung Galaxy On Nxt (Black, 32 GB)",15900,3
3.2,"OBI Worldphone 4G LTE (Black, 32 GB)",9450,3
3.6,"Lava V2 3 GB RAM (Icy White, 16 GB)",6999,3
4,"Sony Xperia Z5 Dual (Green, 32 GB)",32499,3
4.1,"Sony Xperia XZ Dual (Forest Blue, 64 GB)",36990,3
3.3,"ZOPO Speed X (Royale Gold, 32 GB)",9999,3
3.3,"ZOPO Speed X (Space Grey, 32 GB)",9999,3
4.3,"Redmi 3S Prime (Gold, 32 GB)",8999,3
4,"OPPO F1 (Rose Gold, 16 GB)",15890,3
4,"Samsung Galaxy S6 Edge (Black, 64 GB)",39990,3
4.3,"Redmi Note 4 (Dark Grey, 32 GB)",10999,3
4,"Gionee MARATHON M5 PLUS (CHAMPAGNE GOLD, 64 GB)",22599,3
4,"Sony Xperia X Dual Sim (Lime Gold, 64 GB)",25990,3
4.3,"Nexus 6 (Midnight Blue, 64 GB)",21999,3
3.8,"Panasonic P55 Novo (Space Grey, 16 GB)",7790,3
3.5,"HTC Desire 728 (White & Gold, 32 GB)",11990,3
4.4,"LYF F1S (Grey, 32 GB)",8799,3
4.1,"Sony Xperia Z3 (Copper, 16 GB)",39999,3
4.1,"Samsung Galaxy Note 3 (Jet Black, 32 GB)",18999,3
3.7,"Lenovo Vibe Shot (Carmine Red, 32 GB)",13990,3
3.9,"Nextbit Robin (Ember, 32 GB)",19999,3
3.6,"Sony Xperia M5 Dual (White, 16 GB)",37990,3
4,"LG G4 (GENUINE LEATHER BLACK, 32 GB)",21990,3
3.9,"LeEco Le 1S (Gold, 32 GB)",9999,3
4.3,"Nexus 6 (Midnight Blue, 32 GB)",21999,3
4.3,"Mi Max (Dark Grey, 32 GB)",14999,3
4.2,"IQ Picasso (White, 32 GB)",6988,3
3.1,"Redmi Note 3 (Gold, 32 GB)",11999,3
3.4,"Meigu LEKE 4G (Gold, 32 GB)",6486,3
3.4,"Meigu LEKE 4G (Rose Gold, 32 GB)",6980,3
3.4,"Lava Pixel V2 Plus (Black, 32 GB)",6485,3
3.4,"Hyve Buzz (Midnight Blue, 48 GB)",6990,3
3.4,"Hyve Buzz (Sunset Wine, 48 GB)",7486,3
3.9,"Hyve Buzz (Twilight Black, 48 GB)",7299,3
4.4,"Intex Cloud Crystal 2.5 D (White, 16 GB)",6549,3
4.1,"Micromax Canvas Pulse 4G (Grey, 16 GB)",6450,3
4,"OBI SJ1.8 (Gold, 16 GB)",6998,3
4,"HTC One Me Dual Sim(Gsm+Gsm) (Meteor Grey, 32 GB)",21500,3
3.3,"ZOPO Speed X (Orchid Gold, 32 GB)",9499,3
3.3,"ZOPO Speed X (Charcoal Black, 32 GB)",9499,3
4,"Asus Zenfone Selfie (White, 32 GB)",13499,3
4,"Samsung Galaxy S6 Edge (White Pearl, 64 GB)",34900,3
4,"Moto X Style (Black, 32 GB)",19900,3
3.6,"Sony Xperia M5 Dual (Gold, 16 GB)",16990,3
